Mois;Jour;Nom;Jour;Mois républicain;Saison
9;22;Raisin;1;Vendémiaire;Automne
9;23;Safran;2;Vendémiaire;Automne
9;24;Châtaigne;3;Vendémiaire;Automne
9;25;Colchique;4;Vendémiaire;Automne
9;26;Cheval;5;Vendémiaire;Automne
9;27;Balsamine;6;Vendémiaire;Automne
9;28;Carotte;7;Vendémiaire;Automne
9;29;Amaranthe;8;Vendémiaire;Automne
9;30;Panais;9;Vendémiaire;Automne
10;1;Cuve;10;Vendémiaire;Automne
10;2;Pomme de terre;11;Vendémiaire;Automne
10;3;Immortelle;12;Vendémiaire;Automne
10;4;Potiron;13;Vendémiaire;Automne
10;5;Réséda;14;Vendémiaire;Automne
10;6;Âne;15;Vendémiaire;Automne
10;7;Belle de nuit;16;Vendémiaire;Automne
10;8;Citrouille;17;Vendémiaire;Automne
10;9;Sarrasin;18;Vendémiaire;Automne
10;10;Tournesol;19;Vendémiaire;Automne
10;11;Pressoir;20;Vendémiaire;Automne
10;12;Chanvre;21;Vendémiaire;Automne
10;13;Pêche;22;Vendémiaire;Automne
10;14;Navet;23;Vendémiaire;Automne
10;15;Amaryllis;24;Vendémiaire;Automne
10;16;Bœuf;25;Vendémiaire;Automne
10;17;Aubergine;26;Vendémiaire;Automne
10;18;Piment;27;Vendémiaire;Automne
10;19;Tomate;28;Vendémiaire;Automne
10;20;Orge;29;Vendémiaire;Automne
10;21;Tonneau;30;Vendémiaire;Automne
10;22;Pomme;1;Brumaire;Automne
10;23;Céleri;2;Brumaire;Automne
10;24;Poire;3;Brumaire;Automne
10;25;Betterave;4;Brumaire;Automne
10;26;Oie;5;Brumaire;Automne
10;27;Héliotrope;6;Brumaire;Automne
10;28;Figue;7;Brumaire;Automne
10;29;Scorsonère;8;Brumaire;Automne
10;30;Alisier;9;Brumaire;Automne
10;31;Charrue;10;Brumaire;Automne
11;1;Salsifis;11;Brumaire;Automne
11;2;Mâcre;12;Brumaire;Automne
11;3;Topinambour;13;Brumaire;Automne
11;4;Endive;14;Brumaire;Automne
11;5;Dindon;15;Brumaire;Automne
11;6;Chervis;16;Brumaire;Automne
11;7;Cresson;17;Brumaire;Automne
11;8;Dentelaire;18;Brumaire;Automne
11;9;Grenade;19;Brumaire;Automne
11;10;Herse;20;Brumaire;Automne
11;11;Bacchante;21;Brumaire;Automne
11;12;Azerole;22;Brumaire;Automne
11;13;Garance;23;Brumaire;Automne
11;14;Orange;24;Brumaire;Automne
11;15;Faisan;25;Brumaire;Automne
11;16;Pistache;26;Brumaire;Automne
11;17;Macjonc;27;Brumaire;Automne
11;18;Coing;28;Brumaire;Automne
11;19;Cormier;29;Brumaire;Automne
11;20;Rouleau;30;Brumaire;Automne
11;21;Raiponce;1;Frimaire;Automne
11;22;Turneps;2;Frimaire;Automne
11;23;Chicorée;3;Frimaire;Automne
11;24;Nèfle;4;Frimaire;Automne
11;25;Cochon;5;Frimaire;Automne
11;26;Mâche;6;Frimaire;Automne
11;27;Chou-fleur;7;Frimaire;Automne
11;28;Miel;8;Frimaire;Automne
11;29;Genièvre;9;Frimaire;Automne
11;30;Pioche;10;Frimaire;Automne
12;1;Cire;11;Frimaire;Automne
12;2;Raifort;12;Frimaire;Automne
12;3;Cèdre;13;Frimaire;Automne
12;4;Sapin;14;Frimaire;Automne
12;5;Chevreuil;15;Frimaire;Automne
12;6;Ajonc;16;Frimaire;Automne
12;7;Cyprès;17;Frimaire;Automne
12;8;Lierre;18;Frimaire;Automne
12;9;Sabine;19;Frimaire;Automne
12;10;Hoyau;20;Frimaire;Automne
12;11;Érable sucré;21;Frimaire;Automne
12;12;Bruyère;22;Frimaire;Automne
12;13;Roseau;23;Frimaire;Automne
12;14;Oseille;24;Frimaire;Automne
12;15;Grillon;25;Frimaire;Automne
12;16;Pignon;26;Frimaire;Automne
12;17;Liège;27;Frimaire;Automne
12;18;Truffe;28;Frimaire;Automne
12;19;Olive;29;Frimaire;Automne
12;20;Pelle;30;Frimaire;Automne
12;21;Tourbe;1;Nivôse;Hiver
12;22;Houille;2;Nivôse;Hiver
12;23;Bitume;3;Nivôse;Hiver
12;24;Soufre;4;Nivôse;Hiver
12;25;Chien;5;Nivôse;Hiver
12;26;Lave;6;Nivôse;Hiver
12;27;Terre végértale;7;Nivôse;Hiver
12;28;Fumier;8;Nivôse;Hiver
12;29;Salpêtre;9;Nivôse;Hiver
12;30;Fléau;10;Nivôse;Hiver
12;31;Granit;11;Nivôse;Hiver
1;1;Argile;12;Nivôse;Hiver
1;2;Ardoise;13;Nivôse;Hiver
1;3;Grès;14;Nivôse;Hiver
1;4;Lapin;15;Nivôse;Hiver
1;5;Silex;16;Nivôse;Hiver
1;6;Marne;17;Nivôse;Hiver
1;7;Pierre à chaux;18;Nivôse;Hiver
1;8;Marbre;19;Nivôse;Hiver
1;9;Van;20;Nivôse;Hiver
1;10;Pierre à plâtre;21;Nivôse;Hiver
1;11;Sel;22;Nivôse;Hiver
1;12;Fer;23;Nivôse;Hiver
1;13;Cuivre;24;Nivôse;Hiver
1;14;Chat;25;Nivôse;Hiver
1;15;Étain;26;Nivôse;Hiver
1;16;Plomb;27;Nivôse;Hiver
1;17;Zinc;28;Nivôse;Hiver
1;18;Mercure;29;Nivôse;Hiver
1;19;Crible;30;Nivôse;Hiver
1;20;Lauréole;1;Pluviôse;Hiver
1;21;Mousse;2;Pluviôse;Hiver
1;22;Fragon;3;Pluviôse;Hiver
1;23;Perce-neige;4;Pluviôse;Hiver
1;24;Taureau;5;Pluviôse;Hiver
1;25;Laurier tin;6;Pluviôse;Hiver
1;26;Amadouvier;7;Pluviôse;Hiver
1;27;Mézéréon;8;Pluviôse;Hiver
1;28;Peuplier;9;Pluviôse;Hiver
1;29;Coignée;10;Pluviôse;Hiver
1;30;Ellébore;11;Pluviôse;Hiver
1;31;Brocoli;12;Pluviôse;Hiver
2;1;Laurier;13;Pluviôse;Hiver
2;2;Avelinier;14;Pluviôse;Hiver
2;3;Vache;15;Pluviôse;Hiver
2;4;Buis;16;Pluviôse;Hiver
2;5;Lichen;17;Pluviôse;Hiver
2;6;If;18;Pluviôse;Hiver
2;7;Pulmonaire;19;Pluviôse;Hiver
2;8;Serpette;20;Pluviôse;Hiver
2;9;Thlaspi;21;Pluviôse;Hiver
2;10;Thimele;22;Pluviôse;Hiver
2;11;Chiendent;23;Pluviôse;Hiver
2;12;Trainasse;24;Pluviôse;Hiver
2;13;Lièvre;25;Pluviôse;Hiver
2;14;Guède;26;Pluviôse;Hiver
2;15;Noisetier;27;Pluviôse;Hiver
2;16;Cyclamen;28;Pluviôse;Hiver
2;17;Chélidoine;29;Pluviôse;Hiver
2;18;Traîneau;30;Pluviôse;Hiver
2;19;Tussilage;1;Ventôse;Hiver
2;20;Cornouiller;2;Ventôse;Hiver
2;21;Violier;3;Ventôse;Hiver
2;22;Troène;4;Ventôse;Hiver
2;23;Bouc;5;Ventôse;Hiver
2;24;Asaret;6;Ventôse;Hiver
2;25;Alaterne;7;Ventôse;Hiver
2;26;Violette;8;Ventôse;Hiver
2;27;Marceau;9;Ventôse;Hiver
2;28;Bêche;10;Ventôse;Hiver
3;1;Narcisse;11;Ventôse;Hiver
3;2;Orme;12;Ventôse;Hiver
3;3;Fumeterre;13;Ventôse;Hiver
3;4;Vélar;14;Ventôse;Hiver
3;5;Chèvre;15;Ventôse;Hiver
3;6;Épinard;16;Ventôse;Hiver
3;7;Doronic;17;Ventôse;Hiver
3;8;Mouron;18;Ventôse;Hiver
3;9;Cerfeuil;19;Ventôse;Hiver
3;10;Cordeau;20;Ventôse;Hiver
3;11;Mandragore;21;Ventôse;Hiver
3;12;Persil;22;Ventôse;Hiver
3;13;Cochléaria;23;Ventôse;Hiver
3;14;Pâquerette;24;Ventôse;Hiver
3;15;Thon;25;Ventôse;Hiver
3;16;Pissenlit;26;Ventôse;Hiver
3;17;Sylvie;27;Ventôse;Hiver
3;18;Capillaire;28;Ventôse;Hiver
3;19;Frêne;29;Ventôse;Hiver
3;20;Plantoir;30;Ventôse;Hiver
3;21;Primevère;1;Germinal;Printemps
3;22;Platane;2;Germinal;Printemps
3;23;Asperge;3;Germinal;Printemps
3;24;Tulipe;4;Germinal;Printemps
3;25;Poule;5;Germinal;Printemps
3;26;Bette;6;Germinal;Printemps
3;27;Bouleau;7;Germinal;Printemps
3;28;Jonquille;8;Germinal;Printemps
3;29;Aulne;9;Germinal;Printemps
3;30;Couvoir;10;Germinal;Printemps
3;31;Pervenche;11;Germinal;Printemps
4;1;Charme;12;Germinal;Printemps
4;2;Morille;13;Germinal;Printemps
4;3;Hêtre;14;Germinal;Printemps
4;4;Abeille;15;Germinal;Printemps
4;5;Laitue;16;Germinal;Printemps
4;6;Mélèze;17;Germinal;Printemps
4;7;Ciguë;18;Germinal;Printemps
4;8;Radis;19;Germinal;Printemps
4;9;Ruche;20;Germinal;Printemps
4;10;Gainier;21;Germinal;Printemps
4;11;Romaine;22;Germinal;Printemps
4;12;Marronnier;23;Germinal;Printemps
4;13;Roquette;24;Germinal;Printemps
4;14;Pigeon;25;Germinal;Printemps
4;15;Lilas (commun);26;Germinal;Printemps
4;16;Anémone;27;Germinal;Printemps
4;17;Pensée;28;Germinal;Printemps
4;18;Myrtile;29;Germinal;Printemps
4;19;Greffoir;30;Germinal;Printemps
4;20;Rose;1;Floréal;Printemps
4;21;Chêne;2;Floréal;Printemps
4;22;Fougère;3;Floréal;Printemps
4;23;Aubépine;4;Floréal;Printemps
4;24;Rossignol;5;Floréal;Printemps
4;25;Ancolie;6;Floréal;Printemps
4;26;Muguet;7;Floréal;Printemps
4;27;Champignon;8;Floréal;Printemps
4;28;Hyacinthe;9;Floréal;Printemps
4;29;Râteau;10;Floréal;Printemps
4;30;Rhubarbe;11;Floréal;Printemps
5;1;Sainfoin;12;Floréal;Printemps
5;2;Bâton-d'or;13;Floréal;Printemps
5;3;Chamerops;14;Floréal;Printemps
5;4;Ver à soie;15;Floréal;Printemps
5;5;Consoude;16;Floréal;Printemps
5;6;Pimprenelle;17;Floréal;Printemps
5;7;Corbeille d'or;18;Floréal;Printemps
5;8;Arroche;19;Floréal;Printemps
5;9;Sarcloir;20;Floréal;Printemps
5;10;Statice;21;Floréal;Printemps
5;11;Fritillaire;22;Floréal;Printemps
5;12;Bourrache;23;Floréal;Printemps
5;13;Valériane;24;Floréal;Printemps
5;14;Carpe;25;Floréal;Printemps
5;15;Fusain;26;Floréal;Printemps
5;16;Civette;27;Floréal;Printemps
5;17;Buglosse;28;Floréal;Printemps
5;18;Sénevé;29;Floréal;Printemps
5;19;Houlette;30;Floréal;Printemps
5;20;Luzerne;1;Prairial;Printemps
5;21;Hémérocalle;2;Prairial;Printemps
5;22;Trèfle;3;Prairial;Printemps
5;23;Angélique;4;Prairial;Printemps
5;24;Canard;5;Prairial;Printemps
5;25;Mélisse;6;Prairial;Printemps
5;26;Fromental;7;Prairial;Printemps
5;27;Lis martagon;8;Prairial;Printemps
5;28;Serpolet;9;Prairial;Printemps
5;29;FAUX;10;Prairial;Printemps
5;30;Fraise;11;Prairial;Printemps
5;31;Bétoine;12;Prairial;Printemps
6;1;Pois;13;Prairial;Printemps
6;2;Acacia;14;Prairial;Printemps
6;3;Caille;15;Prairial;Printemps
6;4;Œillet;16;Prairial;Printemps
6;5;Sureau;17;Prairial;Printemps
6;6;Pavot;18;Prairial;Printemps
6;7;Tilleul;19;Prairial;Printemps
6;8;Fourche;20;Prairial;Printemps
6;9;Barbeau;21;Prairial;Printemps
6;10;Camomille;22;Prairial;Printemps
6;11;Chèvrefeuille;23;Prairial;Printemps
6;12;Caille-lait;24;Prairial;Printemps
6;13;Tanche;25;Prairial;Printemps
6;14;Jasmin;26;Prairial;Printemps
6;15;Verveine;27;Prairial;Printemps
6;16;Thym;28;Prairial;Printemps
6;17;Pivoine;29;Prairial;Printemps
6;18;Chariot;30;Prairial;Printemps
6;19;Seigle;1;Messidor;Été
6;20;Avoine;2;Messidor;Été
6;21;Oignon;3;Messidor;Été
6;22;Véronique;4;Messidor;Été
6;23;Mulet;5;Messidor;Été
6;24;Romarin;6;Messidor;Été
6;25;Concombre;7;Messidor;Été
6;26;Échalote;8;Messidor;Été
6;27;Absinthe;9;Messidor;Été
6;28;Faucille;10;Messidor;Été
6;29;Coriandre;11;Messidor;Été
6;30;Artichaut;12;Messidor;Été
7;1;Girofle;13;Messidor;Été
7;2;Lavande;14;Messidor;Été
7;3;Chamois;15;Messidor;Été
7;4;Tabac;16;Messidor;Été
7;5;Groseille;17;Messidor;Été
7;6;Gesse;18;Messidor;Été
7;7;Cerise;19;Messidor;Été
7;8;Parc;20;Messidor;Été
7;9;Menthe;21;Messidor;Été
7;10;Cumin;22;Messidor;Été
7;11;Haricot;23;Messidor;Été
7;12;Orcanète;24;Messidor;Été
7;13;Pintade;25;Messidor;Été
7;14;Sauge;26;Messidor;Été
7;15;Ail;27;Messidor;Été
7;16;Vesce;28;Messidor;Été
7;17;Blé;29;Messidor;Été
7;18;Chalemie;30;Messidor;Été
7;19;Épeautre;1;Thermidor;Été
7;20;Bouillon-blanc;2;Thermidor;Été
7;21;Melon;3;Thermidor;Été
7;22;Ivraie;4;Thermidor;Été
7;23;Bélier;5;Thermidor;Été
7;24;Prêle;6;Thermidor;Été
7;25;Armoise;7;Thermidor;Été
7;26;Carthame;8;Thermidor;Été
7;27;Mûre;9;Thermidor;Été
7;28;Arrosoir;10;Thermidor;Été
7;29;Panic;11;Thermidor;Été
7;30;Salicorne;12;Thermidor;Été
7;31;Abricot;13;Thermidor;Été
8;1;Basilic;14;Thermidor;Été
8;2;Brebis;15;Thermidor;Été
8;3;Guimauve;16;Thermidor;Été
8;4;Lin;17;Thermidor;Été
8;5;Amande;18;Thermidor;Été
8;6;Gentiane;19;Thermidor;Été
8;7;Écluse;20;Thermidor;Été
8;8;Carline;21;Thermidor;Été
8;9;Câprier;22;Thermidor;Été
8;10;Lentille;23;Thermidor;Été
8;11;Aunée;24;Thermidor;Été
8;12;Loutre;25;Thermidor;Été
8;13;Myrte;26;Thermidor;Été
8;14;Colza;27;Thermidor;Été
8;15;Lupin;28;Thermidor;Été
8;16;Coton;29;Thermidor;Été
8;17;Moulin;30;Thermidor;Été
8;18;Prune;1;Fructidor;Été
8;19;Millet;2;Fructidor;Été
8;20;Lycoperdon;3;Fructidor;Été
8;21;Escourgeon;4;Fructidor;Été
8;22;Saumon;5;Fructidor;Été
8;23;Tubéreuse;6;Fructidor;Été
8;24;Sucrion;7;Fructidor;Été
8;25;Apocyn;8;Fructidor;Été
8;26;Réglisse;9;Fructidor;Été
8;27;Échelle;10;Fructidor;Été
8;28;Pastèque;11;Fructidor;Été
8;29;Fenouil;12;Fructidor;Été
8;30;Épine vinette;13;Fructidor;Été
8;31;Noix;14;Fructidor;Été
9;1;Truite;15;Fructidor;Été
9;2;Citron;16;Fructidor;Été
9;3;Cardère;17;Fructidor;Été
9;4;Nerprun;18;Fructidor;Été
9;5;Tagette;19;Fructidor;Été
9;6;Hotte;20;Fructidor;Été
9;7;Églantier;21;Fructidor;Été
9;8;Noisette;22;Fructidor;Été
9;9;Houblon;23;Fructidor;Été
9;10;Sorgho;24;Fructidor;Été
9;11;Écrevisse;25;Fructidor;Été
9;12;Bigarade;26;Fructidor;Été
9;13;Verge d'or;27;Fructidor;Été
9;14;Maïs;28;Fructidor;Été
9;15;Marron;29;Fructidor;Été
9;16;Panier;30;Fructidor;Été
9;17;Jour de la vertu;;Sans-culottides;Spécial
9;18;Jour du génie;;Sans-culottides;Spécial
9;19;Jour du travail;;Sans-culottides;Spécial
9;20;Jour de l'opinion;;Sans-culottides;Spécial
9;21;Jour des récompenses;;Sans-culottides;Spécial
9;22;Jour de la révolution;;Sans-culottides;Spécial
